MATCH,District,Ward,Precinct,MAY17_Jackson,MAY17_Walsh
Boston Ward 6 Precinct 8,6-8,6,8,75,371
Boston Ward 6 Precinct 9,6-9,6,9,71,366
Boston Ward 7 Precinct 1,7-1,7,1,86,414
Boston Ward 7 Precinct 2,7-2,7,2,82,439
Boston Ward 7 Precinct 3,7-3,7,3,98,520
Boston Ward 7 Precinct 4,7-4,7,4,94,330
Boston Ward 7 Precinct 5,7-5,7,5,92,279
Boston Ward 7 Precinct 6,7-6,7,6,89,267
Boston Ward 7 Precinct 7,7-7,7,7,77,232
Boston Ward 7 Precinct 8,7-8,7,8,85,253
Boston Ward 7 Precinct 9,7-9,7,9,72,249
Boston Ward 7 Precinct 10,7-10,7,10,79,195
Boston Ward 8 Precinct 1,8-1,8,1,106,227
Boston Ward 8 Precinct 2,8-2,8,2,210,332
Boston Ward 8 Precinct 3,8-3,8,3,165,89
Boston Ward 8 Precinct 4,8-4,8,4,108,87
Boston Ward 8 Precinct 5,8-5,8,5,141,221
Boston Ward 8 Precinct 6,8-6,8,6,41,78
Boston Ward 8 Precinct 7,8-7,8,7,125,100
Boston Ward 9 Precinct 1,9-1,9,1,188,428
Boston Ward 9 Precinct 2,9-2,9,2,214,329
Boston Ward 9 Precinct 3,9-3,9,3,306,258
Boston Ward 9 Precinct 4,9-4,9,4,186,235
Boston Ward 9 Precinct 5,9-5,9,5,408,256
Boston Ward 10 Precinct 1,10-1,10,1,80,175
Boston Ward 10 Precinct 2,10-2,10,2,76,107
Boston Ward 10 Precinct 3,10-3,10,3,52,112
Boston Ward 10 Precinct 4,10-4,10,4,114,281
Boston Ward 10 Precinct 5,10-5,10,5,118,118
Boston Ward 10 Precinct 6,10-6,10,6,129,161
Boston Ward 10 Precinct 7,10-7,10,7,155,248
Boston Ward 10 Precinct 8,10-8,10,8,206,277
Boston Ward 10 Precinct 9,10-9,10,9,266,273
Boston Ward 11 Precinct 1,11-1,11,1,197,69
Boston Ward 11 Precinct 2,11-2,11,2,278,207
Boston Ward 11 Precinct 3,11-3,11,3,197,123
Boston Ward 11 Precinct 4,11-4,11,4,294,258
Boston Ward 11 Precinct 5,11-5,11,5,230,223
Boston Ward 11 Precinct 6,11-6,11,6,261,180
Boston Ward 11 Precinct 7,11-7,11,7,339,187
Boston Ward 11 Precinct 8,11-8,11,8,311,265
Boston Ward 11 Precinct 9,11-9,11,9,223,176
Boston Ward 11 Precinct 10,11-10,11,10,258,181
Boston Ward 12 Precinct 1,12-1,12,1,340,190
Boston Ward 12 Precinct 2,12-2,12,2,338,212
Boston Ward 12 Precinct 3,12-3,12,3,200,112
Boston Ward 12 Precinct 4,12-4,12,4,191,112
Boston Ward 12 Precinct 5,12-5,12,5,126,120
Boston Ward 12 Precinct 6,12-6,12,6,161,138
Boston Ward 12 Precinct 7,12-7,12,7,376,260
Boston City Ward 12 Precinct 8,12-8,12,8,122,70
